year,est_unstandardized,area,model,est_link,se_link,est,lwr,upr
1996,0.6624207798480118,3CD5ABCDE,Combined,-0.42249827278296603,0.38775758477277034,0.6554073863566647,0.30651053908201675,1.4014488486346377
1997,0.9209780330266636,3CD5ABCDE,Combined,-0.18011260584034527,0.3878772154030291,0.8351761604026465,0.3904903788514855,1.7862648010853892
1998,0.9012032906277941,3CD5ABCDE,Combined,-0.13494153599523528,0.3874485141996355,0.8737669941124854,0.4088771136018017,1.8672328056588097
1999,0.8578933473976031,3CD5ABCDE,Combined,-0.13088703345996588,0.3873612957651038,0.8773168762453644,0.410608458955346,1.8744984048870457
2000,0.847048823450077,3CD5ABCDE,Combined,-0.13690578552711896,0.3869235203547027,0.8720523822174178,0.4084948853096251,1.8616520908325673
2001,0.8085193699595427,3CD5ABCDE,Combined,-0.28085470652792965,0.3872087197828241,0.7551380441383644,0.35353110807601534,1.6129654581415338
2002,1.0070071576296975,3CD5ABCDE,Combined,0.016479285218736095,0.3869336422983654,1.016615817593647,0.4762031863807268,2.1703082846558384
2003,1.072326222224333,3CD5ABCDE,Combined,0.22899878424115094,0.3869527178588427,1.2573405103860582,0.5889414283752168,2.6843164411430616
2004,1.3445817379167442,3CD5ABCDE,Combined,0.3559966158278325,0.3867323421234697,1.427602717002289,0.6689815653700988,3.0464957826824617
2005,1.3443130449482918,3CD5ABCDE,Combined,0.3739728270769618,0.38695974810154476,1.4534976541403475,0.6808125421677621,3.1031382351809027
2006,1.0967196314894867,3CD5ABCDE,Combined,0.30093348368284367,0.3869482796768472,1.3511194670580022,0.632873230615793,2.8845015493653348
2007,1.011780396606496,3CD5ABCDE,Combined,0.030313073697096904,0.3878442559403798,1.030777192669495,0.48197565816167914,2.2044715390402314
2008,1.4102725215569185,3CD5ABCDE,Combined,-0.20392210007587375,0.3877482104745749,0.8155258981184754,0.38139923461097724,1.7437960807140116
2009,0.8504279996687116,3CD5ABCDE,Combined,-0.02410709766678565,0.38733753313173863,0.976181157435033,0.4569009447824145,2.085637298441142
2010,0.6970955496881327,3CD5ABCDE,Combined,-0.10464011280579832,0.3875923148139886,0.9006485961640377,0.4213375227145664,1.925221111440802
2011,1.0859439626772325,3CD5ABCDE,Combined,0.05339055149973948,0.3873882838596667,1.0548415346254236,0.49366877389584185,2.2539214996119714
2012,1.0204604013666123,3CD5ABCDE,Combined,-0.0814014518111228,0.38773788985207064,0.921823549419036,0.4311204696777811,1.9710468790744695
2013,1.2069455534921163,3CD5ABCDE,Combined,0.09943222767230786,0.38779218100003165,1.104543610711727,0.5165204245361917,2.3619909881774963
2014,1.01476952699503,3CD5ABCDE,Combined,0.08281264204753835,0.38854930198373344,1.0863382553689733,0.5072537082320296,2.3265099612407085
2015,0.8776919195294495,3CD5ABCDE,Combined,0.011785344631181083,0.38874445513113975,1.0118550654305623,0.472293914290393,2.1678252513073164
2016,1.0430546863279533,3CD5ABCDE,Combined,0.06237803498500316,0.3889187814120235,1.0643646357523167,0.4966335858587289,2.281102426613603
2017,1.3759165825319477,3CD5ABCDE,Combined,0.08377783191274712,0.38921563039237095,1.0873872842178118,0.5070808586166301,2.3317999206365827
1996,0.7656174230837139,5CDE,Combined,-0.14265079236621414,0.30846170104237985,0.8670567988876979,0.4736741095176204,1.587140773353617
1997,1.0161872988665195,5CDE,Combined,0.018202845658758182,0.30736871350087885,1.01836952727773,0.5575295164173658,1.8601284121278938
1998,0.8911518411706314,5CDE,Combined,0.042421718910791384,0.3055811788392887,1.0433343798251937,0.5732018293213699,1.8990634231122103
1999,0.8271873050495986,5CDE,Combined,0.1814143501250043,0.3048310199815646,1.1989118456623271,0.6596443525055633,2.1790372466765335
2000,0.6912052930772412,5CDE,Combined,0.1254862690615841,0.30083975149939524,1.1336996020942345,0.6286631842273623,2.044456904802291
2001,0.7617429783289525,5CDE,Combined,-0.12937097286116472,0.3031708862556903,0.8786479505337952,0.485009931991027,1.5917657970590209
2002,1.0269351542721112,5CDE,Combined,-0.028025599772069754,0.3028304417898866,0.9723634741993173,0.537098773474725,1.7603665706405855
2003,1.044450830967074,5CDE,Combined,0.09598435416075946,0.30285446277505484,1.100741841829349,0.6079817627891959,1.9928765573416947
2004,1.3007827322874799,5CDE,Combined,0.11647753670578664,0.3018593170757211,1.123532271947752,0.6217813814694345,2.0301745979026724
2005,1.3328371111021178,5CDE,Combined,0.2260849005545289,0.3068885549241761,1.2536820990653927,0.6870029676148435,2.2877904166465943
2006,1.2273400961426153,5CDE,Combined,0.35837466577755617,0.3041527133540575,1.4310016674068111,0.7883882145386659,2.597407894179832
2007,1.3776370188935123,5CDE,Combined,-0.2133701289734402,0.3161598270123966,0.8078570705650716,0.43472423566555407,1.5012575626541984
2008,1.850466664721008,5CDE,Combined,-0.02227706140632213,0.3097895739336011,0.9779692399788373,0.5328770129820549,1.794830347423887
2009,0.6954429586933865,5CDE,Combined,0.16760290486966367,0.3094020905260916,1.1824669655332913,0.6447934844760899,2.1684898471230736
2010,0.5743156342521204,5CDE,Combined,-0.038064658790375905,0.30924825422662855,0.9626506950493544,0.5250870413555002,1.7648433263307348
2011,1.1676794815103544,5CDE,Combined,0.10044695770802292,0.3117446485393952,1.105664993143269,0.6001518614170789,2.0369762316090285
2012,1.130256796862779,5CDE,Combined,-0.2070237451246144,0.3122782228857767,0.8130003449638691,0.4408330432373474,1.4993648299533204
2013,1.139074054740202,5CDE,Combined,-0.06948032091273415,0.3115539116707503,0.9328784914011616,0.5065531688322371,1.7180077695005498
2014,1.2175953970578963,5CDE,Combined,-0.1281456685710185,0.32189491476839555,0.8797252214946956,0.4681063798528218,1.653291855533393
2015,0.5480010168828839,5CDE,Combined,-0.44893015732787944,0.3175908636907299,0.6383106784603925,0.3425258155808278,1.1895177055360386
2016,0.982369868413596,5CDE,Combined,-0.12932407087066844,0.3220270658917914,0.8786891618380592,0.4674339984442581,1.6517725405113937
2017,1.4461895122451276,5CDE,Combined,0.1241666734440483,0.3176600890850949,1.132204563707707,0.6074732721703344,2.110195185214865
1996,0.488310284166276,5AB,Combined,-0.5575124532677567,0.30654749746962434,0.5726317418444049,0.3140052579004393,1.0442726786177754
1997,1.1587907327804337,5AB,Combined,0.01771056585544839,0.30407207057214763,1.0178683279024316,0.5608674407011,1.8472385055046041
1998,1.0094771012958867,5AB,Combined,0.053022672757323086,0.30453232142409403,1.0544535522178329,0.5805027867609622,1.9153608202102388
1999,1.1612766719675796,5AB,Combined,0.0041629354461045764,0.3047854074953642,1.00417161249836,0.5525471757598044,1.8249312847558508
2000,1.3371206529717352,5AB,Combined,0.0681206831750516,0.30445892000254177,1.0704944913576098,0.5894185125482178,1.9442186351980963
2001,1.1889277396895996,5AB,Combined,0.06281084375879686,0.3048565912957408,1.0648254018097894,0.5858402865042244,1.9354304619527107
2002,1.2575334140133074,5AB,Combined,0.28656601287191075,0.3030846519773189,1.3318460839773272,0.7352976432028098,2.4123754615605217
2003,1.111852997707548,5AB,Combined,0.19099346626038205,0.3039974837993465,1.2104515432802585,0.6670824670281165,2.1964194999114017
2004,1.2872684771964646,5AB,Combined,0.28821369782541106,0.3040721952905965,1.334042355615259,0.7350859815252185,2.4210351595644655
2005,1.4305456157732332,5AB,Combined,0.3270746914582454,0.3041317234490254,1.3869050632733797,0.7641253088069708,2.5172646846843842
2006,1.2230827556438677,5AB,Combined,0.28268475722792896,0.3049770646963126,1.3266868674427192,0.7297375795206634,2.411960263031974
2007,0.8346923476237593,5AB,Combined,-0.03583749409861925,0.3066412435608761,0.9647970659614051,0.5289537228009767,1.7597633561565267
2008,0.8231443430227102,5AB,Combined,-0.3278290417549785,0.30934509063205573,0.7204861822304531,0.3929215051936131,1.3211298743478692
2009,0.8658673165527337,5AB,Combined,-0.23397308815875784,0.3071684797845921,0.7913831131857118,0.43343072106295716,1.4449534871445784
2010,0.8417446638644265,5AB,Combined,-0.1460708033546796,0.30502318785137256,0.8640965200862949,0.4752490713957834,1.5710978536629907
2011,0.8875880266400338,5AB,Combined,0.1023049874948323,0.30630357273143866,1.107721261346981,0.6077145392639695,2.0191164001543846
2012,0.8573112273417103,5AB,Combined,-0.08398551783391417,0.31002856847171684,0.919444571547698,0.5007534013047149,1.6882128367893128
2013,1.0375066136944682,5AB,Combined,0.09007406957862152,0.3090521712317197,1.0942553317349026,0.5971014864187933,2.0053454199416216
2014,0.8102833801493871,5AB,Combined,-0.1935310254155711,0.3117965973657037,0.8240442694825942,0.44724338090147386,1.5182985082940659
2015,0.8534245039365002,5AB,Combined,-0.17746012828414415,0.3132333802865818,0.8373943870211958,0.4532109658425476,1.5472471150625737
2016,1.0629243750467043,5AB,Combined,0.1326917287482594,0.3089897441991463,1.1418979297632053,0.6231748322917368,2.0923997800140044
2017,1.0362580498206035,5AB,Combined,-0.1502315602898947,0.3172564825434827,0.8605086937103942,0.4620628925637063,1.60254204323295
1996,0.407196077899146,3CD,Combined,-0.7962448030156151,0.16381839659558317,0.45101945496479967,0.32715249855990164,0.6217850991576608
1997,0.5536833056940319,3CD,Combined,-0.4552291859985087,0.16358861608772168,0.6343025780184967,0.4603064233603154,0.8740694026030794
1998,0.5458952659865909,3CD,Combined,-0.2370444603348898,0.15638699042303447,0.7889562099805157,0.5806756372658558,1.071944234129866
1999,0.6380494532398134,3CD,Combined,-0.42444810242993114,0.15393852044410108,0.654130698670137,0.48375940038798376,0.8845036822013348
2000,0.5957142806747392,3CD,Combined,-0.30713279298735463,0.15155607459478979,0.7355529181522455,0.5465209161424678,0.9899677751056933
2001,0.6083682829576698,3CD,Combined,-0.4919066032025454,0.1523529560576197,0.6114594715220363,0.45360958443933364,0.824238944986427
2002,0.9972355549315505,3CD,Combined,-0.0020684467267377826,0.15023940743765218,0.9979336910349901,0.7433876119476802,1.3396398267836735
2003,1.6137075287700708,3CD,Combined,0.4457824478792194,0.1490450221028633,1.5617116758868592,1.166087589279436,2.0915610293978397
2004,1.7081805146839792,3CD,Combined,0.47521270225212575,0.14900719090932008,1.608356262104706,1.201004882041309,2.1538712327752614
2005,1.5803164316074227,3CD,Combined,0.44193847759889016,0.1486449822308641,1.555720025858397,1.1625249404809483,2.08190354854285
2006,1.2279212347813118,3CD,Combined,0.22909269698688384,0.150442111034317,1.2574585962305058,0.9363426029908517,1.688700392552194
2007,1.2987106030456435,3CD,Combined,0.16970062825667487,0.15418834021677177,1.1849500576509036,0.8758954726991046,1.603052741898611
2008,0.8660900008559501,3CD,Combined,-0.20359101405637414,0.15199329820902813,0.8157959520449551,0.6056228305285826,1.0989067812917024
2009,0.9480401578374853,3CD,Combined,-0.07290832856393736,0.1505712000509737,0.9296860517749865,0.6920978852712455,1.248835133380334
2010,0.8703692286118114,3CD,Combined,-0.2709987503697566,0.15214836353418468,0.7626174493942989,0.5659726390226718,1.0275856711464963
2011,1.0684766661386278,3CD,Combined,-0.05947651290059763,0.1494568436658026,0.9422576642307592,0.702990481926623,1.2629609199947582
2012,1.1174320333934695,3CD,Combined,-0.06870546614446571,0.15244868058458028,0.9336016168708676,0.6924599475333642,1.2587182581876366
2013,1.3375650983808782,3CD,Combined,0.2999883346460259,0.15203905283240066,1.349843061087042,1.0019937760280415,1.8184507061387611
2014,1.3469158222784512,3CD,Combined,0.30566006710804583,0.15405666719231656,1.3575207621467111,1.0037158862612299,1.836040103463859
2015,1.539714321229425,3CD,Combined,0.49425395262906413,0.1543050784331178,1.6392748060849922,1.2114475887672729,2.2181907948650204
2016,1.3954165340551778,3CD,Combined,0.28757288037250195,0.15727379347358464,1.3331877518426123,0.9795286868032701,1.814535506319614
2017,1.5356936997295016,3CD,Combined,0.24055227900128173,0.15964218534869998,1.2719514284414035,0.9302086117477176,1.7392447413214314
