year,hours_fished
1954,1638
1955,2118
1956,4317.5
1957,5249
1958,6558
1959,7018
1960,8247
1961,6792
1962,8056
1963,6372
1964,6186
1965,8582
1966,6614.0999868512145
1967,5157.299996137619
1968,6111.499983668326
1969,6618.699995040894
1970,4700.899997472763
1971,4904.699996232986
1972,6342.299990415572
1973,4335.399990856647
1974,4527.099996626377
1975,6464.099984049796
1976,11035
1977,11266.39998167753
1978,10334.399993807077
1979,12289.999989524482
1980,12179.49998652935
1981,9338.399988174438
1982,8643.89998805523
1983,7296.400002539157
1984,7798.699986577033
1985,6781.999982059002
1986,5984.800002336502
1987,11263.999987602232
1988,9302.399978995321
1989,9313.20000576973
1990,8913.69999870658
1991,8136.999986752867
1992,10814.999977782367
1993,13040.399977251886
1994,9439.59998629242
1995,11252.599971935151
1996,7245.549010805783
1997,8250.115423731504
1998,7971.548836722967
1999,8315.332125931976
2000,7159.648889198897
2001,6769.865676566957
2002,7765.782183766363
2003,6660.599078461526
2004,6094.33243813738
2005,7249.898807421324
2006,5587.3325664252025
2007,5782.415814056992
2008,4330.999346166848
2009,3872.516038067638
2010,4040.199406594037
2011,4337.832643702625
2012,3509.299456864595
2013,3652.449433906003
2014,3067.3495505377646
2015,3814.282714411616
2016,3255.9494621660556
2017,3289.8827885389323
2018,2709.266217216849
